url,url_rank,visited_at,webpage_size
https://en.wikipedia.org/wiki/Lake,0.25,1631853130.7396438,307944
https://www.youtube.com/watch?v=ax9H2Jr9VcU,0.75,1631853130.491694,495025
https://lakepajamas.com/,0.25,1631853130.760949,56373
https://www.lakecycling.com/,0.25,1631853130.715963,147136
https://store.steampowered.com/app/1118240/Lake/,0.25,1631853130.650081,166276
https://www.youtube.com/watch?v=ijd43kAL1Z4,6.166666666666667,1631853130.492977,464604
https://whitethorndigital.com/lake,0.25,1631853130.780257,93294
https://policies.google.com/privacy?hl=en,0.75,1631853130.493109,290664
https://developers.google.com/youtube,1.75,1631853131.917824,52851
https://www.pinterest.com/lakepajamas/,0.25,1631853131.7971358,148372
http://dictionary.reference.com/browse/lake,2.25,1631853133.245667,147648
http://atlas.nrcan.gc.ca/site/english/learningresources/facts/lakes.html/#numberoflakes,-1.0,1631853133.2973351,-1
http://www.andes.org.uk/peak-info-6000/ojos-del-salado-info.asp,0.75,1631853135.517772,7832
http://apiblog.youtube.com/,0.25,1631853133.1070662,145999
http://www.gutenberg.org/files/36530/36530-h/36530-h.htm,2.25,1631853136.410725,590390
https://cozygames.pub/lake-xbox,0.75,1631853132.4067252,509928
http://enable-javascript.com/,0.25,1631853133.1491148,38569
http://translation.steampowered.com/,0.25,1631853132.338233,39056
http://hail2u.net/,0.25,1631853138.480607,6501
http://www.elbruz.org/islands/Islands%20and%20Lakes.htm,0.25,1631853135.936857,20572
http://www.nineplanets.org/io.html,0.75,1631853136.945472,65945
http://wldb.ilec.or.jp/,0.25,1631853135.2612321,10578
http://www.ramsar.org/ris/key_ris_e.htm,-1.0,1631853138.5757709,-1
http://www.badastronomy.com/bitesize/io.html,0.75,1631853140.5071218,18801
http://toni.podmanicki.com/,0.75,1631853140.05036,13172
http://www.cycnorth.com/,0.25,1631853139.785422,417726
http://antwrp.gsfc.nasa.gov/apod,0.25,1631853140.604331,5031
http://pds.jpl.nasa.gov/planets/welcome/jupiter.htm,0.25,1631853140.486318,7082
http://groups.yahoo.com/group/badastronomy/join,0.75,1631853141.778597,957505
http://photojournal.jpl.nasa.gov/,0.25,1631853142.23367,3646
http://vedrigrad.hr/,0.25,1631853141.9039,14059
http://www.astro.umd.edu/,0.75,1631853143.7469661,40098
http://astroqueyras.com/,0.25,1631853141.868684,42900
http://www.cafepress.com/badastronomy,0.25,1631853144.474016,1515962
http://asterisk.apod.com/discuss_apod.php?date=210917,0.75,1631853143.7502139,25916
http://www.burstnet.com/ads/ad15743a-map.cgi/ns/v=2.3S/sz=125x125A/,-1.0,1631853145.2956522,-1
http://www.bautforum.com/,2.75,1631853147.439659,32
http://www.cafeshops.com/badastronomy,5.25,1631853146.145667,1028275
http://www.jpl.nasa.gov/galileo/callisto/p49344.html,1.75,1631853147.681765,72884
http://www.enable-javascript.com/hr/,3.25,1631853147.8992288,38874
http://www.lpi.usra.edu/pub/research/outerp/io.html,0.75,1631853149.8830562,9372
http://www.mysteryinvestigators.com/,0.25,1631853149.4873128,9603
http://www.basicbiology.net/environment/freshwater/lakes/,0.75,1631853138.742751,77374
http://www.pantheon.org/articles/i/io.html,1.25,1631853152.795618,20116
http://www.solarviews.com/eng/edu/moonio.htm,0.25,1631853152.7374332,15622
http://www.skepticality.com/,0.25,1631853152.302263,48761
http://crpuzzles.com/,0.25,1631853154.442819,1877
http://store.skepticality.com/,0.25,1631853155.982295,20898
http://www.uam.es/personal_pdi/ciencias/scasado/documentos/Forbes.PDF,0.25,1631853153.353229,2699
http://susangerbic.com/,0.75,1631853156.834804,139
http://ww17.crpuzzles.com/?fp=yVkWzA4pBkxxrPylghNGYGl0+KWDTPpQySpPobNgS9/ixytu8XOXcKzaqA+V4FGbY73/Xy4QzFSONI+suGEEK27UOQUNyPTb1yWe5i/BQ4yxk2wjkY7qnJmgkNbJmSdA6N1SBpkOhxCopOTzbwZZfcBsTZEBrcWUKGpxO9Uxc3k=&poru=LgRrtIEYPOMQsOHwQtW3+UYdgsbwjSMFJg3GPB7PgeL7bkbMlCNjnuBt8eNhN+xj&prvtof=LMClMVGqrYJDQmYXJqQQiyoHVD7Na4StMp/kRjiMlww=,0.25,1631853156.936795,1881
http://www.caltech.edu/,2.25,1631853152.7659452,194047
http://theoatmeal.com/comics/believe,0.25,1631853156.399582,34058
http://www.valvesoftware.com/legal.htm,1.75,1631853156.312424,25056
http://archives.caltech.edu/,3.75,1631853158.53438,17523
http://cast.caltech.edu/,0.25,1631853159.578539,103199
http://beckmaninstitute.caltech.edu/,0.25,1631853158.042561,43217
http://bot.caltech.edu/,2.75,1631853160.146838,11761
http://ccm.caltech.edu/,0.25,1631853160.45046,13777
http://aerospacerobotics.caltech.edu/,2.25,1631853161.14977,316303
http://cd3.caltech.edu/,0.25,1631853161.081378,11559
http://burkeinstitute.caltech.edu/,0.25,1631853158.965214,60403
"http://content.time.com/time/specials/packages/article/0,28804,2016258_2016259_2016274,00.html",0.75,1631853162.610799,38124
http://chhc.caltech.edu/,0.25,1631853161.6002219,12332
http://chche.divisions.caltech.edu/facilities/research-centers/center-for-catalysis-and-chemical-synthesis-3cs,0.25,1631853161.535649,10156
http://csn.caltech.edu/,0.25,1631853162.890083,8140
http://bit.ly/caltechbot,7.25,1631853163.12044,11761
